N,q,init_name,init_value,iteration,mean_rel_error,max_rel_error,mean_abs_f
256,2.0,max+1,1.000000,2,0.6811984181,0.7704894543,4.7470207214
256,2.0,max+1,1.000000,3,0.4798619151,0.6264598370,1.8992309570
256,2.0,max+1,1.000000,4,0.2561052442,0.4358463585,0.6522071362
256,2.0,max+1,1.000000,5,0.0813245028,0.2253157347,0.1578426361
256,2.0,max+1,1.000000,6,0.0099038295,0.0645058751,0.0173315611
256,2.0,max+1,1.000000,7,0.0002189022,0.0055570821,0.0003797770
256,2.0,max+1,1.000000,8,0.0000002684,0.0000418705,0.0000004652
256,2.0,max+1,1.000000,9,0.0000000152,0.0000001506,0.0000000206
256,2.0,max+n^(1/2q),4.000000,0,0.6984274387,0.7230008841,4.9895176888
256,2.0,max+n^(1/2q),4.000000,1,0.5003406405,0.5609869361,2.0062880516
256,2.0,max+n^(1/2q),4.000000,2,0.2736627460,0.3576146364,0.6952034235
256,2.0,max+n^(1/2q),4.000000,3,0.0887484625,0.1556950510,0.1696839035
256,2.0,max+n^(1/2q),4.000000,4,0.0103325378,0.0314815044,0.0178057626
256,2.0,max+n^(1/2q),4.000000,5,0.0001674155,0.0013368169,0.0002869465
256,2.0,max+n^(1/2q),4.000000,6,0.0000000811,0.0000023775,0.0000001340
256,2.0,max+n^(1/2q),4.000000,7,0.0000000149,0.0000000877,0.0000000194
256,2.0,max+n^(1/2q),4.000000,8,0.0000000128,0.0000000877,0.0000000161
256,2.0,max+n^(1/2q),4.000000,9,0.0000000128,0.0000000877,0.0000000161
256,4.0,n^(1/q),4.000000,0,1.1703655720,2.8028206825,0.8421109319
256,4.0,n^(1/q),4.000000,1,0.1477294564,0.9014103413,0.2784133852
256,4.0,n^(1/q),4.000000,2,0.0536939166,0.3107807040,0.1793356687
256,4.0,n^(1/q),4.000000,3,0.0146289365,0.1633805484,0.0393136516
256,4.0,n^(1/q),4.000000,4,0.0022153719,0.0494466685,0.0051833256
256,4.0,n^(1/q),4.000000,5,0.0000864351,0.0048118611,0.0001945641
256,4.0,n^(1/q),4.000000,6,0.0000002121,0.0000465855,0.0000005172
256,4.0,n^(1/q),4.000000,7,0.0000000076,0.0000001451,0.0000000425
256,4.0,n^(1/q),4.000000,8,0.0000000000,0.0000000000,0.0000000409
256,4.0,n^(1/q),4.000000,9,0.0000000064,0.0000001451,0.0000000407
256,4.0,eps=0.1,0.100000,0,0.9457408190,0.9635319114,11120.1044921875
